id,title,indexed,bgcov,n_mb_works
all-i-have-for-you-mom,All I Have For You Mom,0,0,0
all-i-have-is-just-a-memory,All I Have Is Just A Memory,1,1,0
all-i-have-to-do-is-dream,All I Have to Do Is Dream,0,4,1
all-i-have-to-offer-you-is-love,All I Have To Offer You Is Love,0,0,1
all-i-have-to-offer-you-is-me,All I Have to Offer You is Me,0,1,0
all-i-knew-to-talk-about-was-texas,All I Knew To Talk About Was Texas,0,0,0
all-i-left-behind,All I Left Behind,0,0,2
all-i-love-is-you,All I Love Is You,0,0,0
all-i-m-missing-is-you,All I'm Missing Is You,0,0,1
all-in-alabama,All In Alabama,0,0,0
all-i-needed-was-the-rain,All I Needed Was The Rain,0,0,1
all-i-need-is-jesus,All I Need Is Jesus,0,0,0
all-i-need-is-not-to-need-you,All I Need Is Not To Need You,1,1,0
all-i-need-is-some-more-lovin,All I Need Is Some More Lovin',0,0,0
all-i-need-is-you,All I Need Is You,0,2,16
all-i-need-is-you-1,All I Need Is You,0,2,16
all-i-need-is-you-2,All I Need Is You,0,2,16
all-in-my-love-for-you,All In My Love For You,0,1,0
all-in-one-night,All In One Night,0,0,4
all-in-the-name-of-love,All In The Name Of Love,0,1,7
all-in-the-name-of-love-1,All In The Name Of Love,0,1,7
all-is-fair-in-love-and-war,All Is Fair In Love And War,0,0,1
allison-miranda,Allison Miranda,0,0,0
all-ive-got-left,All I’ve Got Left,0,0,0
all-i-wanna-do-in-life,All I Wanna Do In Life,0,0,1
all-i-want-and-need-forever,All I Want And Need Forever,0,0,0
all-i-want-for-christmas-is-my-daddy,All I Want For Christmas Is My Daddy,0,0,1
all-i-want-for-christmas-is-my-two-front-teeth,All I Want for Christmas Is My Two Front Teeth,0,0,1
all-i-want-for-christmas-is-you-lyrics-with-chords,All I Want For Christmas Is You Lyrics with Chords,0,0,0
all-i-want-for-christmas-is-you-lyrics-with-chords-1,All I Want For Christmas Is You Lyrics with Chords,0,0,0
all-i-want-from-you-is-away,All I Want From You Is Away,0,0,0
all-i-want-is-mary-for-christmas-lyrics-with-chords,All I Want Is Mary For Christmas Lyrics with Chords,0,0,0
all-i-want-is-you,All I Want is You,0,3,36
all-i-want-to-do,All I Want To Do,0,0,6
all-i-want-to-do-in-life,All I Want To Do In Life,0,0,1
all-i-want-to-do-is-sing-my-song,All I Want To Do Is Sing My Song,0,0,1
all-i-want-to-do-is-touch-you,All I Want To Do Is Touch You,0,0,0
all-jokes-aside,All Jokes Aside,0,0,0
all-kinds-of-everything,All Kinds Of Everything,0,0,1
all-my-ex-s-live-in-texas,All My Ex's Live In Texas,1,2,1
all-my-exs-live-in-texas,All My Ex’s Live In Texas,0,2,1
all-my-good-times-are-gone,All My Good Times Are Gone,0,0,0
all-my-hard-times,All My Hard Times,0,0,1
all-my-life,All My Life,0,1,73
all-my-love,All My Love,0,0,44
all-my-love-1,All My Love,0,0,44
all-my-love-all-my-life-lyrics-and-chords,All My Love All My Life Lyrics and Chords,0,0,0
all-my-love-belongs-to-you,All My Love Belongs To You,0,0,2
all-my-loving,All My Loving,1,1,2
